Doulist, Page, NO., ID, Score, Rating, Votes, Title 
919697, 2, 38, 1351961, 31.3, 9.0, 123, 怎樣製造一顆核子彈 
919697, 2, 39, 1208050, 26.1, 9.1, 52, 怎样打麻将 
919697, 2, 40, 3097991, 15.0, 7.9, 16, 怎样看电影 
919697, 2, 41, 1999516, 20.4, 9.0, 23, 如何訓練你的男朋友 
919697, 2, 42, 3143316, 27.7, 9.3, 59, 如何带病赴宴 
919697, 2, 43, 1487786, 27.0, 9.1, 60, 怎样坐飞机 
919697, 2, 44, 1177879, 20.3, 8.8, 25, 怎样合理避税 
919697, 2, 45, 3131372, 12.0, 7.5, 11, 怎麼有人研究這個 
919697, 2, 46, 1385745, 29.4, 8.8, 106, 如何當一隻好狗 
919697, 2, 47, 1796024, 18.2, 8.3, 23, 我嫁了一個共產黨員 
919697, 2, 48, 3373994, 25.6, 9.3, 43, 怎样对付小报告 
919697, 2, 49, 4034830, 15.3, 7.7, 19, 超能力自我训练法 
919697, 2, 50, 3113719, -2.7, 0.0, 3, 人体特异功能探秘 
919697, 3, 51, 2195125, -5.2, 0.0, 8, 气功与特异功能解析 
919697, 3, 52, 1331740, -4.0, 0.0, 5, 通靈自學書-12種引爆第六感能力的私配方 
919697, 3, 53, 1332227, 11.5, 7.5, 10, 密教超能力咒術 
919697, 3, 54, 3205460, 17.7, 8.3, 21, 超功能气功宝典 
919697, 3, 55, 1809114, 18.9, 8.1, 29, 太极内功心法 
919697, 3, 56, 2092807, 32.4, 9.0, 147, 怎样唱好周杰伦歌曲（标准级） 
919697, 3, 57, 2007012, 28.0, 8.6, 99, 特异功能三百例 
919697, 3, 58, 2109411, -1.7, 0.0, 2, 畜禽肉食加工刀法 
919697, 3, 59, 3437709, -2.7, 0.0, 3, 修真心语 
919697, 3, 60, 4749573, 14.7, 7.8, 16, 轻功修炼秘法 
919697, 3, 61, 4056088, -4.0, 0.0, 5, 怎样摆摊办店 
919697, 3, 62, 1069915, 32.2, 9.3, 114, 科学养猪 
919697, 3, 63, 3365412, 31.3, 8.9, 134, 岱河煤矿志 
919697, 3, 64, 2037729, 22.7, 8.0, 62, 去报告斯大林 
919697, 3, 65, 1266767, 23.6, 8.9, 40, 领导干部旅游知识读本 
919697, 3, 66, 3072996, 25.0, 7.9, 102, 从小跟着共产党 
919697, 3, 67, 3982722, 33.7, 9.5, 124, 怎样做保安 
919697, 3, 68, 2702253, 22.9, 8.7, 40, 怎样写领导讲话稿 
919697, 3, 69, 3529721, 22.8, 8.9, 35, &#34;赤脚医生&#34;手册 
919697, 3, 70, 1115529, 44.4, 9.9, 403, 智障儿童学写字 
919697, 3, 71, 3521868, 23.6, 9.0, 38, 庞龙民谣吉他图文心曲集 
919697, 3, 72, 1055223, 25.6, 9.9, 32, 摇滚王子 
919697, 3, 73, 1074879, 35.7, 8.3, 472, 轻功是怎样炼成的 
919697, 3, 74, 1807316, 26.9, 9.7, 42, 自行车维修 
919697, 3, 75, 1040368, 28.3, 9.8, 48, 男青年花式毛衣 
919697, 5, 101, 3103330, 15.8, 7.2, 29, 一切反动派都是尊孔派 
919697, 5, 102, 3231710, -4.5, 0.0, 6, 八宝硬气功阐秘 
919697, 5, 103, 2315987, -0.0, 0.0, 1, 八卦掌 
919697, 5, 104, 1277254, 18.8, 7.3, 50, 我为什么打老婆 
